Report Date:,11/9/2022 4:20:25 PM
Report User Name:,Jake
Report Computer Name:,FW20061-01
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,Soda Bay_Append_2022-11-03_10-09-26-282-BaroMerge.wsl
Create Date,11/9/2022 4:18:26 PM

Device Properties
Device,Rugged TROLL 200
Site,Adobe Creek
Device Name, 
Serial Number,628775
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Soda Bay
,Created By,Sarah
,Computer Name,L001
,Application,WinSitu.exe
,Application Version,5.7.5.6
,Create Date,12/13/2018 8:40:47 AM Pacific Standard Time
,Log Setup Time Zone,Pacific Standard Time
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,12/13/2018 9:00:00 AM Pacific Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,0.0251359 (ft)
,Head Pressure:,0.0108862 (PSI)
,Temperature:,21.3175 (C)



Log Notes:
Date and Time,Note
12/13/2018 8:40:53 AM ,Used Battery: 0% Used Memory: 6%   User Name: Sarah
12/21/2018 3:52:40 PM ,Log Download - Used Battery: 0% Used Memory: 6%   User Name: Sarah
3/24/2019 11:33:52 AM ,Log Download - Used Battery: 1% Used Memory: 15%   User Name: Sarah Interval -  Start Time: 12/21/2018 3:45:00 PM
12/3/2019 3:26:42 PM  ,Log Download - Used Battery: 7% Used Memory: 37%   User Name: sryan
1/25/2020 2:34:07 PM  ,Log Download - Used Battery: 8% Used Memory: 43%   User Name: sryan
4/18/2020 6:56:49 PM  ,Log Download - Used Battery: 10% Used Memory: 53%   User Name: sryan Interval -  Start Time: 1/25/2020 2:30:00 PM
5/21/2021 11:29:12 AM ,Log Download - Used Battery: 19% Used Memory: 90%   User Name: sryan Interval -  Start Time: 4/18/2020 6:45:00 PM
8/25/2021 8:43:29 AM  ,Log Download - Used Battery: 21% Used Memory: 100%   User Name: sryan Interval -  Start Time: 5/21/2021 11:15:00 AM
11/3/2021 7:59:32 AM  ,Log Download - Used Battery: 22% Used Memory: 100%   User Name: sryan Interval -  Start Time: 8/25/2021 8:30:00 AM
12/17/2021 2:22:37 PM ,Log Download - Used Battery: 23% Used Memory: 100%   User Name: sryan Interval -  Start Time: 11/3/2021 7:45:00 AM
2/2/2022 10:11:04 AM  ,Log Download - Used Battery: 24% Used Memory: 100%   User Name: sryan Interval -  Start Time: 12/17/2021 2:15:00 PM
5/2/2022 10:09:31 AM  ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 6:49:21 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 7:02:08 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: Alix
5/3/2022 8:35:36 AM   ,Log Download - Used Battery: 26% Used Memory: 100%   User Name: sryan Interval -  Start Time: 2/2/2022 10:00:00 AM
8/3/2022 9:40:26 AM   ,Log Download - Used Battery: 28% Used Memory: 100%   User Name: Alix Interval -  Start Time: 5/1/2022 10:00:00 AM Stop Time: 8/3/2022 8:45:00 AM
11/3/2022 10:08:22 AM ,Log Download - Used Battery: 30% Used Memory: 100%   User Name: atyler Interval -  Start Time: 8/3/2022 8:30:00 AM
11/9/2022 4:18:26 PM  ,User Note: "Pressure & Level adjusted by baro data from: "Baro_Append_2022-11-03_10-12-18-925.wsl""


Log Data:
Record Count,17857

Sensors,1

 ,1,628775,Pressure/Temp PSIA (9m/30ft)

Time Zone: Pacific Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,,SN#: 628775                             ,SN#: 628775                             ,SN#: 628775                             ,
,Elapsed Time,Corrected                               ,                                        ,Corrected                               ,
Date and Time,Seconds     ,Pressure (PSI)                          ,Temperature (C)                         ,Depth (ft)                              ,
5/1/2022 10:00:00 AM  ,       0.000,                                   0.004,                                   9.815,                                   0.009,
5/1/2022 10:15:00 AM  ,     900.000,                                   0.010,                                   9.971,                                   0.024,
5/1/2022 10:30:00 AM  ,    1800.000,                                   0.005,                                  10.437,                                   0.010,
5/1/2022 10:45:00 AM  ,    2700.000,                                   0.014,                                  10.747,                                   0.033,
5/1/2022 11:00:00 AM  ,    3600.000,                                   0.007,                                  11.058,                                   0.017,
5/1/2022 11:15:00 AM  ,    4500.000,                                   0.007,                                  11.264,                                   0.016,
5/1/2022 11:30:00 AM  ,    5400.000,                                   0.001,                                  11.522,                                   0.002,
5/1/2022 11:45:00 AM  ,    6300.000,                                  -0.001,                                  11.779,                                  -0.002,
5/1/2022 12:00:00 PM  ,    7200.000,                                  -0.011,                                  12.088,                                  -0.025,
5/1/2022 12:15:00 PM  ,    8100.000,                                  -0.002,                                  12.448,                                  -0.005,
5/1/2022 12:30:00 PM  ,    9000.000,                                  -0.009,                                  12.858,                                  -0.021,
5/1/2022 12:45:00 PM  ,    9900.000,                                  -0.000,                                  13.165,                                  -0.001,
5/1/2022 1:00:00 PM   ,   10800.000,                                  -0.002,                                  13.523,                                  -0.004,
5/1/2022 1:15:00 PM   ,   11700.000,                                  -0.001,                                  13.983,                                  -0.003,
5/1/2022 1:30:00 PM   ,   12600.000,                                  -0.006,                                  14.289,                                  -0.014,
5/1/2022 1:45:00 PM   ,   13500.000,                                   0.005,                                  14.543,                                   0.013,
5/1/2022 2:00:00 PM   ,   14400.000,                                   0.003,                                  14.798,                                   0.007,
5/1/2022 2:15:00 PM   ,   15300.000,                                  -0.002,                                  14.950,                                  -0.005,
5/1/2022 2:30:00 PM   ,   16200.000,                                  -0.003,                                  15.153,                                  -0.007,
5/1/2022 2:45:00 PM   ,   17100.000,                                  -0.006,                                  15.356,                                  -0.013,
5/1/2022 3:00:00 PM   ,   18000.000,                                  -0.005,                                  15.559,                                  -0.012,
5/1/2022 3:15:00 PM   ,   18900.000,                                   0.003,                                  15.711,                                   0.007,
5/1/2022 3:30:00 PM   ,   19800.000,                                  -0.003,                                  15.913,                                  -0.007,
5/1/2022 3:45:00 PM   ,   20700.000,                                   0.001,                                  16.166,                                   0.002,
5/1/2022 4:00:00 PM   ,   21600.000,                                  -0.002,                                  16.368,                                  -0.004,
5/1/2022 4:15:00 PM   ,   22500.000,                                  -0.003,                                  16.621,                                  -0.007,
5/1/2022 4:30:00 PM   ,   23400.000,                                   0.000,                                  16.772,                                   0.000,
5/1/2022 4:45:00 PM   ,   24300.000,                                   0.009,                                  16.873,                                   0.020,
5/1/2022 5:00:00 PM   ,   25200.000,                                   0.006,                                  16.974,                                   0.015,
5/1/2022 5:15:00 PM   ,   26100.000,                                   0.014,                                  16.974,                                   0.031,
5/1/2022 5:30:00 PM   ,   27000.000,                                   0.005,                                  16.923,                                   0.013,
5/1/2022 5:45:00 PM   ,   27900.000,                                   0.010,                                  16.923,                                   0.022,
5/1/2022 6:00:00 PM   ,   28800.000,                                  -0.002,                                  16.873,                                  -0.004,
5/1/2022 6:15:00 PM   ,   29700.000,                                   0.003,                                  16.923,                                   0.007,
5/1/2022 6:30:00 PM   ,   30600.000,                                   0.005,                                  16.873,                                   0.012,
5/1/2022 6:45:00 PM   ,   31500.000,                                   0.010,                                  16.823,                                   0.023,
5/1/2022 7:00:00 PM   ,   32400.000,                                   0.018,                                  16.823,                                   0.041,
5/1/2022 7:15:00 PM   ,   33300.000,                                   0.008,                                  16.772,                                   0.018,
5/1/2022 7:30:00 PM   ,   34200.000,                                   0.011,                                  16.570,                                   0.025,
5/1/2022 7:45:00 PM   ,   35100.000,                                   0.006,                                  16.469,                                   0.014,
5/1/2022 8:00:00 PM   ,   36000.000,                                   0.017,                                  16.267,                                   0.039,
5/1/2022 8:15:00 PM   ,   36900.000,                                   0.000,                                  16.015,                                   0.000,
5/1/2022 8:30:00 PM   ,   37800.000,                                   0.022,                                  15.660,                                   0.052,
5/1/2022 8:45:00 PM   ,   38700.000,                                   0.013,                                  15.305,                                   0.030,
