Report Date:,12/22/2023 12:07:57 PM
Report User Name:,Cameron
Report Computer Name:,FWLAPTOP-29013
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,Highland Springs Outlet_Append_2023-11-13_10-48-24-150-BaroMerge.wsl
Create Date,12/22/2023 12:01:16 PM

Device Properties
Device,Rugged TROLL 200
Site,Adobe Creek
Device Name, 
Serial Number,969161
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Highland Springs Outlet
,Created By,Anthony2015
,Computer Name,ANTHONY201920QF
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,5/3/2023 11:17:40 AM Pacific Daylight Time
,Log Setup Time Zone,Pacific Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,5/3/2023 12:00:00 PM Pacific Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,-0.147688 (ft)
,Head Pressure:,-0.0639629 (PSI)
,Temperature:,62.3326 (F)



Log Notes:
Date and Time,Note
5/3/2023 11:17:46 AM  ,Used Battery: 0% Used Memory: 6%   User Name: Anthony2015
5/11/2023 8:43:48 AM  ,Log Download - Used Battery: 0% Used Memory: 6%   User Name: atyler
7/13/2023 11:41:54 AM ,Log Download - Used Battery: 1% Used Memory: 12%   User Name: atyler Interval -  Start Time: 5/11/2023 8:30:00 AM
11/13/2023 10:44:34 AM,Log Download - Used Battery: 4% Used Memory: 21%   User Name: atyler Interval -  Start Time: 7/13/2023 11:30:00 AM
12/22/2023 12:01:16 PM,User Note: "Pressure & Level adjusted by baro data from: "Baro_Append_2023-11-13_09-38-00-296.wsl""


Log Data:
Record Count,18619

Sensors,2

 ,1,969161,Pressure/Temp PSIA (9m/30ft)

 ,2,0,Baro-Adjustment Calc

Time Zone: Pacific Daylight Time/Pacific Standard Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Baro-Adj Calc                   ,
,,SN#: 969161                             ,SN#: 969161                             ,SN#: 969161                             ,SN#: 000000                             ,
,Elapsed Time,Corrected                               ,                                        ,Corrected                               ,                                        ,                                        ,
Date and Time,Seconds     ,Pressure (PSI)                          ,Temperature (F)                         ,Depth (ft)                              ,Barometric Pressure (PSI)               ,
5/3/2023 12:00:00 PM  ,       0.000,                                  -0.057,                                  61.333,                                  -0.132,                                  13.975,
5/3/2023 12:15:00 PM  ,     900.001,                                  -0.056,                                  62.786,                                  -0.129,                                  13.974,
5/3/2023 12:30:00 PM  ,    1800.001,                                   0.428,                                  60.969,                                   0.989,                                  13.975,
5/3/2023 12:45:00 PM  ,    2700.001,                                   0.429,                                  60.605,                                   0.990,                                  13.967,
5/3/2023 1:00:00 PM   ,    3600.001,                                   0.412,                                  60.240,                                   0.951,                                  13.971,
5/3/2023 1:15:00 PM   ,    4500.001,                                   0.413,                                  60.605,                                   0.953,                                  13.977,
5/3/2023 1:30:00 PM   ,    5400.001,                                   0.424,                                  60.514,                                   0.978,                                  13.971,
5/3/2023 1:45:00 PM   ,    6300.001,                                   0.426,                                  60.605,                                   0.984,                                  13.963,
5/3/2023 2:00:00 PM   ,    7200.001,                                   0.423,                                  60.514,                                   0.977,                                  13.964,
5/3/2023 2:15:00 PM   ,    8100.001,                                   0.416,                                  60.514,                                   0.960,                                  13.968,
5/3/2023 2:30:00 PM   ,    9000.001,                                   0.428,                                  60.240,                                   0.988,                                  13.957,
5/3/2023 2:45:00 PM   ,    9900.001,                                   0.425,                                  60.514,                                   0.982,                                  13.959,
5/3/2023 3:00:00 PM   ,   10800.001,                                   0.419,                                  60.514,                                   0.967,                                  13.964,
5/3/2023 3:15:00 PM   ,   11700.001,                                   0.420,                                  60.240,                                   0.971,                                  13.960,
5/3/2023 3:30:00 PM   ,   12600.001,                                   0.416,                                  60.514,                                   0.962,                                  13.961,
5/3/2023 3:45:00 PM   ,   13500.001,                                   0.420,                                  60.514,                                   0.971,                                  13.959,
5/3/2023 4:00:00 PM   ,   14400.001,                                   0.420,                                  60.331,                                   0.969,                                  13.959,
5/3/2023 4:15:00 PM   ,   15300.001,                                   0.414,                                  60.331,                                   0.956,                                  13.961,
5/3/2023 4:30:00 PM   ,   16200.001,                                   0.422,                                  60.423,                                   0.975,                                  13.960,
5/3/2023 4:45:00 PM   ,   17100.001,                                   0.418,                                  60.149,                                   0.966,                                  13.969,
5/3/2023 5:00:00 PM   ,   18000.001,                                   0.421,                                  60.240,                                   0.971,                                  13.963,
5/3/2023 5:15:00 PM   ,   18900.001,                                   0.425,                                  60.058,                                   0.981,                                  13.964,
5/3/2023 5:30:00 PM   ,   19800.001,                                   0.420,                                  60.149,                                   0.969,                                  13.958,
5/3/2023 5:45:00 PM   ,   20700.001,                                   0.420,                                  60.058,                                   0.969,                                  13.957,
5/3/2023 6:00:00 PM   ,   21600.001,                                   0.415,                                  60.240,                                   0.957,                                  13.963,
5/3/2023 6:15:00 PM   ,   22500.001,                                   0.407,                                  60.149,                                   0.940,                                  13.962,
5/3/2023 6:30:00 PM   ,   23400.001,                                   0.416,                                  60.423,                                   0.961,                                  13.957,
5/3/2023 6:45:00 PM   ,   24300.001,                                   0.414,                                  60.240,                                   0.955,                                  13.960,
5/3/2023 7:00:00 PM   ,   25200.001,                                   0.418,                                  60.240,                                   0.964,                                  13.955,
5/3/2023 7:15:00 PM   ,   26100.001,                                   0.416,                                  60.058,                                   0.962,                                  13.957,
5/3/2023 7:30:00 PM   ,   27000.001,                                   0.418,                                  60.331,                                   0.964,                                  13.957,
5/3/2023 7:45:00 PM   ,   27900.001,                                   0.421,                                  59.966,                                   0.973,                                  13.954,
5/3/2023 8:00:00 PM   ,   28800.001,                                   0.414,                                  60.240,                                   0.955,                                  13.964,
5/3/2023 8:15:00 PM   ,   29700.001,                                   0.414,                                  60.058,                                   0.955,                                  13.966,
5/3/2023 8:30:00 PM   ,   30600.001,                                   0.417,                                  60.058,                                   0.964,                                  13.965,
5/3/2023 8:45:00 PM   ,   31500.001,                                   0.419,                                  60.240,                                   0.967,                                  13.964,
5/3/2023 9:00:00 PM   ,   32400.001,                                   0.418,                                  60.058,                                   0.964,                                  13.969,
5/3/2023 9:15:00 PM   ,   33300.001,                                   0.407,                                  60.240,                                   0.941,                                  13.973,
5/3/2023 9:30:00 PM   ,   34200.001,                                   0.410,                                  60.240,                                   0.947,                                  13.970,
5/3/2023 9:45:00 PM   ,   35100.001,                                   0.410,                                  59.601,                                   0.948,                                  13.973,
5/3/2023 10:00:00 PM  ,   36000.001,                                   0.413,                                  59.784,                                   0.953,                                  13.970,
5/3/2023 10:15:00 PM  ,   36900.001,                                   0.410,                                  59.692,                                   0.946,                                  13.971,
5/3/2023 10:30:00 PM  ,   37800.001,                                   0.406,                                  59.692,                                   0.938,                                  13.973,
5/3/2023 10:45:00 PM  ,   38700.001,                                   0.411,                                  60.058,                                   0.948,                                  13.969,
5/3/2023 11:00:00 PM  ,   39600.001,                                   0.410,                                  59.784,                                   0.947,                                  13.966,
5/3/2023 11:15:00 PM  ,   40500.001,                                   0.408,                                  59.601,                                   0.943,                                  13.967,
5/3/2023 11:30:00 PM  ,   41400.001,                                   0.411,                                  59.784,                                   0.948,                                  13.967,
5/3/2023 11:45:00 PM  ,   42300.001,                                   0.413,                                  59.418,                                   0.953,                                  13.968,
5/4/2023 12:00:00 AM  ,   43200.001,                                   0.413,                                  59.510,                                   0.953,                                  13.964,
5/4/2023 12:15:00 AM  ,   44100.001,                                   0.409,                                  59.235,                                   0.945,                                  13.964,
5/4/2023 12:30:00 AM  ,   45000.001,                                   0.408,                                  59.601,                                   0.943,                                  13.964,
5/4/2023 12:45:00 AM  ,   45900.001,                                   0.415,                                  59.601,                                   0.957,                                  13.962,
5/4/2023 1:00:00 AM   ,   46800.001,                                   0.407,                                  59.510,                                   0.939,                                  13.963,
5/4/2023 1:15:00 AM   ,   47700.001,                                   0.404,                                  59.510,                                   0.932,                                  13.966,
5/4/2023 1:30:00 AM   ,   48600.001,                                   0.405,                                  59.418,                                   0.935,                                  13.959,
5/4/2023 1:45:00 AM   ,   49500.001,                                   0.404,                                  59.418,                                   0.932,                                  13.962,
5/4/2023 2:00:00 AM   ,   50400.001,                                   0.401,                                  59.327,                                   0.925,                                  13.957,
5/4/2023 2:15:00 AM   ,   51300.001,                                   0.400,                                  59.510,                                   0.923,                                  13.959,
5/4/2023 2:30:00 AM   ,   52200.001,                                   0.403,                                  59.327,                                   0.931,                                  13.959,
5/4/2023 2:45:00 AM   ,   53100.001,                                   0.403,                                  59.418,                                   0.930,                                  13.957,
5/4/2023 3:00:00 AM   ,   54000.001,                                   0.399,                                  59.235,                                   0.922,                                  13.958,
5/4/2023 3:15:00 AM   ,   54900.001,                                   0.400,                                  59.235,                                   0.924,                                  13.957,
5/4/2023 3:30:00 AM   ,   55800.001,                                   0.400,                                  59.418,                                   0.924,                                  13.956,
5/4/2023 3:45:00 AM   ,   56700.001,                                   0.407,                                  59.327,                                   0.940,                                  13.954,
5/4/2023 4:00:00 AM   ,   57600.001,                                   0.398,                                  59.327,                                   0.918,                                  13.955,
5/4/2023 4:15:00 AM   ,   58500.001,                                   0.401,                                  59.327,                                   0.926,                                  13.950,
5/4/2023 4:30:00 AM   ,   59400.001,                                   0.405,                                  59.052,                                   0.936,                                  13.952,
5/4/2023 4:45:00 AM   ,   60300.001,                                   0.402,                                  59.052,                                   0.928,                                  13.951,
5/4/2023 5:00:00 AM   ,   61200.001,                                   0.394,                                  59.052,                                   0.909,                                  13.955,
5/4/2023 5:15:00 AM   ,   62100.001,                                   0.400,                                  59.235,                                   0.924,                                  13.952,
5/4/2023 5:30:00 AM   ,   63000.001,                                   0.407,                                  59.052,                                   0.939,                                  13.953,
5/4/2023 5:45:00 AM   ,   63900.001,                                   0.405,                                  58.869,                                   0.935,                                  13.951,
5/4/2023 6:00:00 AM   ,   64800.001,                                   0.405,                                  59.052,                                   0.936,                                  13.957,
5/4/2023 6:15:00 AM   ,   65700.001,                                   0.397,                                  59.144,                                   0.917,                                  13.962,
5/4/2023 6:30:00 AM   ,   66600.001,                                   0.395,                                  59.052,                                   0.911,                                  13.961,
5/4/2023 6:45:00 AM   ,   67500.001,                                   0.401,                                  59.052,                                   0.925,                                  13.960,
5/4/2023 7:00:00 AM   ,   68400.001,                                   0.404,                                  59.052,                                   0.932,                                  13.962,
5/4/2023 7:15:00 AM   ,   69300.001,                                   0.404,                                  59.052,                                   0.932,                                  13.964,
5/4/2023 7:30:00 AM   ,   70200.001,                                   0.396,                                  58.869,                                   0.913,                                  13.967,
5/4/2023 7:45:00 AM   ,   71100.001,                                   0.394,                                  58.778,                                   0.910,                                  13.967,
5/4/2023 8:00:00 AM   ,   72000.001,                                   0.400,                                  58.778,                                   0.923,                                  13.969,
5/4/2023 8:15:00 AM   ,   72900.001,                                   0.399,                                  59.052,                                   0.921,                                  13.966,
5/4/2023 8:30:00 AM   ,   73800.001,                                   0.395,                                  58.961,                                   0.911,                                  13.968,
5/4/2023 8:45:00 AM   ,   74700.001,                                   0.396,                                  58.869,                                   0.915,                                  13.970,
5/4/2023 9:00:00 AM   ,   75600.001,                                   0.393,                                  58.869,                                   0.906,                                  13.973,
5/4/2023 9:15:00 AM   ,   76500.001,                                   0.395,                                  58.869,                                   0.912,                                  13.970,
5/4/2023 9:30:00 AM   ,   77400.001,                                   0.390,                                  59.052,                                   0.900,                                  13.976,
5/4/2023 9:45:00 AM   ,   78300.001,                                   0.390,                                  59.052,                                   0.900,                                  13.974,
5/4/2023 10:00:00 AM  ,   79200.001,                                   0.394,                                  58.869,                                   0.909,                                  13.974,
5/4/2023 10:15:00 AM  ,   80100.001,                                   0.390,                                  59.235,                                   0.901,                                  13.978,
5/4/2023 10:30:00 AM  ,   81000.001,                                   0.389,                                  59.052,                                   0.899,                                  13.977,
5/4/2023 10:45:00 AM  ,   81900.001,                                   0.389,                                  58.961,                                   0.898,                                  13.981,
5/4/2023 11:00:00 AM  ,   82800.001,                                   0.395,                                  58.961,                                   0.911,                                  13.983,
5/4/2023 11:15:00 AM  ,   83700.001,                                   0.387,                                  59.144,                                   0.894,                                  13.987,
