seconds,pressure_psi,temperature_f,depth_ft,barometric_pressure_psi,datetime,name
0,-0.052,59.25,-0.12,13.975,2023-05-03T19:00:00Z,Adobe Reservoir
900,-0.052,59.434,-0.121,13.974,2023-05-03T19:15:00Z,Adobe Reservoir
1800,-0.06,61.545,-0.138,13.975,2023-05-03T19:30:00Z,Adobe Reservoir
2700,-0.049,64.281,-0.114,13.967,2023-05-03T19:45:00Z,Adobe Reservoir
3600,-0.048,66.457,-0.111,13.971,2023-05-03T20:00:00Z,Adobe Reservoir
4500,-0.053,69.428,-0.122,13.977,2023-05-03T20:15:00Z,Adobe Reservoir
5400,-0.05,68.17,-0.116,13.971,2023-05-03T20:30:00Z,Adobe Reservoir
6300,-0.003,67.269,-0.006,13.963,2023-05-03T20:45:00Z,Adobe Reservoir
7200,-0,69.518,-0,13.964,2023-05-03T21:00:00Z,Adobe Reservoir
8100,-0,72.201,-0.001,13.968,2023-05-03T21:15:00Z,Adobe Reservoir
9000,-0.025,73.624,-0.057,13.957,2023-05-03T21:30:00Z,Adobe Reservoir
9900,-0.057,69.069,-0.132,13.959,2023-05-03T21:45:00Z,Adobe Reservoir
10800,-0.064,64.099,-0.149,13.964,2023-05-03T22:00:00Z,Adobe Reservoir
11700,-0.052,65.28,-0.12,13.96,2023-05-03T22:15:00Z,Adobe Reservoir
12600,-0.045,67.089,-0.105,13.961,2023-05-03T22:30:00Z,Adobe Reservoir
13500,-0.04,67.99,-0.093,13.959,2023-05-03T22:45:00Z,Adobe Reservoir
14400,0.09,60.995,0.207,13.959,2023-05-03T23:00:00Z,Adobe Reservoir
15300,0.087,60.629,0.2,13.961,2023-05-03T23:15:00Z,Adobe Reservoir
16200,0.091,60.445,0.211,13.96,2023-05-03T23:30:00Z,Adobe Reservoir
17100,0.083,60.537,0.191,13.969,2023-05-03T23:45:00Z,Adobe Reservoir
18000,0.093,60.537,0.214,13.963,2023-05-04T00:00:00Z,Adobe Reservoir
18900,0.086,60.353,0.199,13.964,2023-05-04T00:15:00Z,Adobe Reservoir
19800,0.086,60.537,0.199,13.958,2023-05-04T00:30:00Z,Adobe Reservoir
20700,0.081,60.629,0.188,13.957,2023-05-04T00:45:00Z,Adobe Reservoir
21600,0.075,60.629,0.173,13.963,2023-05-04T01:00:00Z,Adobe Reservoir
22500,0.078,60.353,0.181,13.962,2023-05-04T01:15:00Z,Adobe Reservoir
23400,0.078,60.17,0.181,13.957,2023-05-04T01:30:00Z,Adobe Reservoir
24300,0.076,60.078,0.176,13.96,2023-05-04T01:45:00Z,Adobe Reservoir
25200,0.083,60.078,0.191,13.955,2023-05-04T02:00:00Z,Adobe Reservoir
26100,0.082,60.078,0.189,13.957,2023-05-04T02:15:00Z,Adobe Reservoir
27000,0.087,60.078,0.2,13.957,2023-05-04T02:30:00Z,Adobe Reservoir
27900,0.092,59.986,0.212,13.954,2023-05-04T02:45:00Z,Adobe Reservoir
28800,0.08,59.986,0.184,13.964,2023-05-04T03:00:00Z,Adobe Reservoir
29700,0.083,59.894,0.192,13.966,2023-05-04T03:15:00Z,Adobe Reservoir
30600,0.084,59.802,0.195,13.965,2023-05-04T03:30:00Z,Adobe Reservoir
