seconds,pressure_psi,temperature_f,depth_ft,barometric_pressure_psi,datetime,name
0,-0.031,89.568,-0.072,14.114,2023-11-01T20:00:00Z,Adobe Reservoir
900,-0.035,91.615,-0.082,14.114,2023-11-01T20:15:00Z,Adobe Reservoir
1800,-0.026,94.247,-0.06,14.108,2023-11-01T20:30:00Z,Adobe Reservoir
2700,-0.031,96.442,-0.073,14.108,2023-11-01T20:45:00Z,Adobe Reservoir
3600,-0.039,98.292,-0.091,14.112,2023-11-01T21:00:00Z,Adobe Reservoir
4500,-0.028,99.046,-0.065,14.099,2023-11-01T21:15:00Z,Adobe Reservoir
5400,-0.043,99.799,-0.099,14.111,2023-11-01T21:30:00Z,Adobe Reservoir
6300,-0.038,100.885,-0.088,14.106,2023-11-01T21:45:00Z,Adobe Reservoir
7200,-0.045,101.552,-0.104,14.112,2023-11-01T22:00:00Z,Adobe Reservoir
8100,-0.033,102.135,-0.076,14.098,2023-11-01T22:15:00Z,Adobe Reservoir
9000,-0.032,102.967,-0.074,14.098,2023-11-01T22:30:00Z,Adobe Reservoir
9900,-0.037,102.801,-0.084,14.1,2023-11-01T22:45:00Z,Adobe Reservoir
10800,-0.037,101.636,-0.085,14.097,2023-11-01T23:00:00Z,Adobe Reservoir
11700,-0.044,99.883,-0.101,14.099,2023-11-01T23:15:00Z,Adobe Reservoir
12600,-0.037,97.368,-0.085,14.091,2023-11-01T23:30:00Z,Adobe Reservoir
13500,-0.034,92.296,-0.079,14.09,2023-11-01T23:45:00Z,Adobe Reservoir
14400,-0.029,84.752,-0.068,14.076,2023-11-02T00:00:00Z,Adobe Reservoir
15300,-0.034,78.479,-0.079,14.085,2023-11-02T00:15:00Z,Adobe Reservoir
16200,-0.034,73.446,-0.078,14.08,2023-11-02T00:30:00Z,Adobe Reservoir
17100,-0.04,69.518,-0.093,14.08,2023-11-02T00:45:00Z,Adobe Reservoir
18000,-0.04,66.095,-0.092,14.073,2023-11-02T01:00:00Z,Adobe Reservoir
18900,-0.041,63.189,-0.095,14.077,2023-11-02T01:15:00Z,Adobe Reservoir
19800,-0.039,60.629,-0.09,14.074,2023-11-02T01:30:00Z,Adobe Reservoir
20700,-0.04,58.513,-0.093,14.08,2023-11-02T01:45:00Z,Adobe Reservoir
21600,-0.033,56.757,-0.075,14.077,2023-11-02T02:00:00Z,Adobe Reservoir
22500,-0.038,55.271,-0.089,14.082,2023-11-02T02:15:00Z,Adobe Reservoir
