seconds,pressure_psi,temperature_f,depth_ft,barometric_pressure_psi,datetime,name
0,-0.057,61.333,-0.132,13.975,2023-05-03T19:00:00Z,Highland Springs Reservoir
900.001,-0.056,62.786,-0.129,13.974,2023-05-03T19:15:00Z,Highland Springs Reservoir
1800.001,0.428,60.969,0.989,13.975,2023-05-03T19:30:00Z,Highland Springs Reservoir
2700.001,0.429,60.605,0.99,13.967,2023-05-03T19:45:00Z,Highland Springs Reservoir
3600.001,0.412,60.24,0.951,13.971,2023-05-03T20:00:00Z,Highland Springs Reservoir
4500.001,0.413,60.605,0.953,13.977,2023-05-03T20:15:00Z,Highland Springs Reservoir
5400.001,0.424,60.514,0.978,13.971,2023-05-03T20:30:00Z,Highland Springs Reservoir
6300.001,0.426,60.605,0.984,13.963,2023-05-03T20:45:00Z,Highland Springs Reservoir
7200.001,0.423,60.514,0.977,13.964,2023-05-03T21:00:00Z,Highland Springs Reservoir
8100.001,0.416,60.514,0.96,13.968,2023-05-03T21:15:00Z,Highland Springs Reservoir
9000.001,0.428,60.24,0.988,13.957,2023-05-03T21:30:00Z,Highland Springs Reservoir
9900.001,0.425,60.514,0.982,13.959,2023-05-03T21:45:00Z,Highland Springs Reservoir
10800.001,0.419,60.514,0.967,13.964,2023-05-03T22:00:00Z,Highland Springs Reservoir
11700.001,0.42,60.24,0.971,13.96,2023-05-03T22:15:00Z,Highland Springs Reservoir
12600.001,0.416,60.514,0.962,13.961,2023-05-03T22:30:00Z,Highland Springs Reservoir
13500.001,0.42,60.514,0.971,13.959,2023-05-03T22:45:00Z,Highland Springs Reservoir
14400.001,0.42,60.331,0.969,13.959,2023-05-03T23:00:00Z,Highland Springs Reservoir
15300.001,0.414,60.331,0.956,13.961,2023-05-03T23:15:00Z,Highland Springs Reservoir
16200.001,0.422,60.423,0.975,13.96,2023-05-03T23:30:00Z,Highland Springs Reservoir
17100.001,0.418,60.149,0.966,13.969,2023-05-03T23:45:00Z,Highland Springs Reservoir
18000.001,0.421,60.24,0.971,13.963,2023-05-04T00:00:00Z,Highland Springs Reservoir
18900.001,0.425,60.058,0.981,13.964,2023-05-04T00:15:00Z,Highland Springs Reservoir
19800.001,0.42,60.149,0.969,13.958,2023-05-04T00:30:00Z,Highland Springs Reservoir
20700.001,0.42,60.058,0.969,13.957,2023-05-04T00:45:00Z,Highland Springs Reservoir
21600.001,0.415,60.24,0.957,13.963,2023-05-04T01:00:00Z,Highland Springs Reservoir
22500.001,0.407,60.149,0.94,13.962,2023-05-04T01:15:00Z,Highland Springs Reservoir
23400.001,0.416,60.423,0.961,13.957,2023-05-04T01:30:00Z,Highland Springs Reservoir
24300.001,0.414,60.24,0.955,13.96,2023-05-04T01:45:00Z,Highland Springs Reservoir
25200.001,0.418,60.24,0.964,13.955,2023-05-04T02:00:00Z,Highland Springs Reservoir
26100.001,0.416,60.058,0.962,13.957,2023-05-04T02:15:00Z,Highland Springs Reservoir
27000.001,0.418,60.331,0.964,13.957,2023-05-04T02:30:00Z,Highland Springs Reservoir
27900.001,0.421,59.966,0.973,13.954,2023-05-04T02:45:00Z,Highland Springs Reservoir
28800.001,0.414,60.24,0.955,13.964,2023-05-04T03:00:00Z,Highland Springs Reservoir
29700.001,0.414,60.058,0.955,13.966,2023-05-04T03:15:00Z,Highland Springs Reservoir
30600.001,0.417,60.058,0.964,13.965,2023-05-04T03:30:00Z,Highland Springs Reservoir
31500.001,0.419,60.24,0.967,13.964,2023-05-04T03:45:00Z,Highland Springs Reservoir
32400.001,0.418,60.058,0.964,13.969,2023-05-04T04:00:00Z,Highland Springs Reservoir
33300.001,0.407,60.24,0.941,13.973,2023-05-04T04:15:00Z,Highland Springs Reservoir
34200.001,0.41,60.24,0.947,13.97,2023-05-04T04:30:00Z,Highland Springs Reservoir
35100.001,0.41,59.601,0.948,13.973,2023-05-04T04:45:00Z,Highland Springs Reservoir
36000.001,0.413,59.784,0.953,13.97,2023-05-04T05:00:00Z,Highland Springs Reservoir
36900.001,0.41,59.692,0.946,13.971,2023-05-04T05:15:00Z,Highland Springs Reservoir
37800.001,0.406,59.692,0.938,13.973,2023-05-04T05:30:00Z,Highland Springs Reservoir
38700.001,0.411,60.058,0.948,13.969,2023-05-04T05:45:00Z,Highland Springs Reservoir
39600.001,0.41,59.784,0.947,13.966,2023-05-04T06:00:00Z,Highland Springs Reservoir
40500.001,0.408,59.601,0.943,13.967,2023-05-04T06:15:00Z,Highland Springs Reservoir
41400.001,0.411,59.784,0.948,13.967,2023-05-04T06:30:00Z,Highland Springs Reservoir
42300.001,0.413,59.418,0.953,13.968,2023-05-04T06:45:00Z,Highland Springs Reservoir
43200.001,0.413,59.51,0.953,13.964,2023-05-04T07:00:00Z,Highland Springs Reservoir
44100.001,0.409,59.235,0.945,13.964,2023-05-04T07:15:00Z,Highland Springs Reservoir
45000.001,0.408,59.601,0.943,13.964,2023-05-04T07:30:00Z,Highland Springs Reservoir
45900.001,0.415,59.601,0.957,13.962,2023-05-04T07:45:00Z,Highland Springs Reservoir
46800.001,0.407,59.51,0.939,13.963,2023-05-04T08:00:00Z,Highland Springs Reservoir
47700.001,0.404,59.51,0.932,13.966,2023-05-04T08:15:00Z,Highland Springs Reservoir
48600.001,0.405,59.418,0.935,13.959,2023-05-04T08:30:00Z,Highland Springs Reservoir
49500.001,0.404,59.418,0.932,13.962,2023-05-04T08:45:00Z,Highland Springs Reservoir
50400.001,0.401,59.327,0.925,13.957,2023-05-04T09:00:00Z,Highland Springs Reservoir
51300.001,0.4,59.51,0.923,13.959,2023-05-04T09:15:00Z,Highland Springs Reservoir
52200.001,0.403,59.327,0.931,13.959,2023-05-04T09:30:00Z,Highland Springs Reservoir
53100.001,0.403,59.418,0.93,13.957,2023-05-04T09:45:00Z,Highland Springs Reservoir
54000.001,0.399,59.235,0.922,13.958,2023-05-04T10:00:00Z,Highland Springs Reservoir
54900.001,0.4,59.235,0.924,13.957,2023-05-04T10:15:00Z,Highland Springs Reservoir
55800.001,0.4,59.418,0.924,13.956,2023-05-04T10:30:00Z,Highland Springs Reservoir
56700.001,0.407,59.327,0.94,13.954,2023-05-04T10:45:00Z,Highland Springs Reservoir
57600.001,0.398,59.327,0.918,13.955,2023-05-04T11:00:00Z,Highland Springs Reservoir
58500.001,0.401,59.327,0.926,13.95,2023-05-04T11:15:00Z,Highland Springs Reservoir
59400.001,0.405,59.052,0.936,13.952,2023-05-04T11:30:00Z,Highland Springs Reservoir
60300.001,0.402,59.052,0.928,13.951,2023-05-04T11:45:00Z,Highland Springs Reservoir
61200.001,0.394,59.052,0.909,13.955,2023-05-04T12:00:00Z,Highland Springs Reservoir
62100.001,0.4,59.235,0.924,13.952,2023-05-04T12:15:00Z,Highland Springs Reservoir
63000.001,0.407,59.052,0.939,13.953,2023-05-04T12:30:00Z,Highland Springs Reservoir
63900.001,0.405,58.869,0.935,13.951,2023-05-04T12:45:00Z,Highland Springs Reservoir
64800.001,0.405,59.052,0.936,13.957,2023-05-04T13:00:00Z,Highland Springs Reservoir
65700.001,0.397,59.144,0.917,13.962,2023-05-04T13:15:00Z,Highland Springs Reservoir
66600.001,0.395,59.052,0.911,13.961,2023-05-04T13:30:00Z,Highland Springs Reservoir
67500.001,0.401,59.052,0.925,13.96,2023-05-04T13:45:00Z,Highland Springs Reservoir
68400.001,0.404,59.052,0.932,13.962,2023-05-04T14:00:00Z,Highland Springs Reservoir
69300.001,0.404,59.052,0.932,13.964,2023-05-04T14:15:00Z,Highland Springs Reservoir
70200.001,0.396,58.869,0.913,13.967,2023-05-04T14:30:00Z,Highland Springs Reservoir
71100.001,0.394,58.778,0.91,13.967,2023-05-04T14:45:00Z,Highland Springs Reservoir
72000.001,0.4,58.778,0.923,13.969,2023-05-04T15:00:00Z,Highland Springs Reservoir
72900.001,0.399,59.052,0.921,13.966,2023-05-04T15:15:00Z,Highland Springs Reservoir
73800.001,0.395,58.961,0.911,13.968,2023-05-04T15:30:00Z,Highland Springs Reservoir
74700.001,0.396,58.869,0.915,13.97,2023-05-04T15:45:00Z,Highland Springs Reservoir
75600.001,0.393,58.869,0.906,13.973,2023-05-04T16:00:00Z,Highland Springs Reservoir
76500.001,0.395,58.869,0.912,13.97,2023-05-04T16:15:00Z,Highland Springs Reservoir
77400.001,0.39,59.052,0.9,13.976,2023-05-04T16:30:00Z,Highland Springs Reservoir
78300.001,0.39,59.052,0.9,13.974,2023-05-04T16:45:00Z,Highland Springs Reservoir
79200.001,0.394,58.869,0.909,13.974,2023-05-04T17:00:00Z,Highland Springs Reservoir
80100.001,0.39,59.235,0.901,13.978,2023-05-04T17:15:00Z,Highland Springs Reservoir
81000.001,0.389,59.052,0.899,13.977,2023-05-04T17:30:00Z,Highland Springs Reservoir
81900.001,0.389,58.961,0.898,13.981,2023-05-04T17:45:00Z,Highland Springs Reservoir
82800.001,0.395,58.961,0.911,13.983,2023-05-04T18:00:00Z,Highland Springs Reservoir
83700.001,0.387,59.144,0.894,13.987,2023-05-04T18:15:00Z,Highland Springs Reservoir
84600.001,0.398,59.144,0.919,13.981,2023-05-04T18:30:00Z,Highland Springs Reservoir
85500.001,0.39,59.144,0.9,13.986,2023-05-04T18:45:00Z,Highland Springs Reservoir
86400.001,0.389,58.961,0.898,13.987,2023-05-04T19:00:00Z,Highland Springs Reservoir
87300.001,0.383,58.961,0.884,13.993,2023-05-04T19:15:00Z,Highland Springs Reservoir
88200.001,0.392,58.961,0.906,13.987,2023-05-04T19:30:00Z,Highland Springs Reservoir
89100.001,0.383,59.144,0.885,13.993,2023-05-04T19:45:00Z,Highland Springs Reservoir
90000.001,0.385,59.144,0.889,13.992,2023-05-04T20:00:00Z,Highland Springs Reservoir
90900.001,0.39,59.052,0.901,13.989,2023-05-04T20:15:00Z,Highland Springs Reservoir
91800.001,0.389,59.144,0.899,13.992,2023-05-04T20:30:00Z,Highland Springs Reservoir
92700.001,0.392,58.961,0.906,13.988,2023-05-04T20:45:00Z,Highland Springs Reservoir
93600.001,0.382,59.144,0.882,13.991,2023-05-04T21:00:00Z,Highland Springs Reservoir
94500.001,0.385,59.052,0.89,13.99,2023-05-04T21:15:00Z,Highland Springs Reservoir
95400.001,0.386,59.144,0.891,13.988,2023-05-04T21:30:00Z,Highland Springs Reservoir
96300.001,0.382,59.144,0.883,13.993,2023-05-04T21:45:00Z,Highland Springs Reservoir
97200.001,0.378,59.235,0.872,13.997,2023-05-04T22:00:00Z,Highland Springs Reservoir
98100.001,0.384,59.052,0.886,13.994,2023-05-04T22:15:00Z,Highland Springs Reservoir
99000.001,0.376,59.052,0.868,13.999,2023-05-04T22:30:00Z,Highland Springs Reservoir
99900.001,0.381,59.052,0.879,13.998,2023-05-04T22:45:00Z,Highland Springs Reservoir
100800.001,0.387,59.327,0.895,13.996,2023-05-04T23:00:00Z,Highland Springs Reservoir
101700.001,0.387,59.052,0.894,13.995,2023-05-04T23:15:00Z,Highland Springs Reservoir
102600.001,0.39,59.144,0.902,13.995,2023-05-04T23:30:00Z,Highland Springs Reservoir
103500.001,0.392,59.052,0.906,13.993,2023-05-04T23:45:00Z,Highland Springs Reservoir
104400.001,0.381,59.327,0.881,13.998,2023-05-05T00:00:00Z,Highland Springs Reservoir
105300.001,0.379,59.144,0.876,14.002,2023-05-05T00:15:00Z,Highland Springs Reservoir
106200.001,0.39,59.327,0.9,13.998,2023-05-05T00:30:00Z,Highland Springs Reservoir
107100.001,0.391,59.052,0.902,13.994,2023-05-05T00:45:00Z,Highland Springs Reservoir
108000.001,0.385,59.052,0.889,13.997,2023-05-05T01:00:00Z,Highland Springs Reservoir
108900.001,0.385,59.235,0.889,14.002,2023-05-05T01:15:00Z,Highland Springs Reservoir
109800.001,0.391,59.144,0.904,13.999,2023-05-05T01:30:00Z,Highland Springs Reservoir
110700.001,0.393,59.235,0.907,13.998,2023-05-05T01:45:00Z,Highland Springs Reservoir
111600.001,0.384,59.235,0.886,14.002,2023-05-05T02:00:00Z,Highland Springs Reservoir
112500.001,0.391,59.235,0.903,13.997,2023-05-05T02:15:00Z,Highland Springs Reservoir
113400.001,0.397,58.961,0.916,13.999,2023-05-05T02:30:00Z,Highland Springs Reservoir
114300.001,0.397,59.052,0.917,14.001,2023-05-05T02:45:00Z,Highland Springs Reservoir
115200.001,0.396,59.144,0.915,13.999,2023-05-05T03:00:00Z,Highland Springs Reservoir
116100.001,0.395,59.144,0.912,14.001,2023-05-05T03:15:00Z,Highland Springs Reservoir
117000.001,0.389,59.144,0.899,14.005,2023-05-05T03:30:00Z,Highland Springs Reservoir
117900.001,0.398,59.144,0.919,14.006,2023-05-05T03:45:00Z,Highland Springs Reservoir
118800.001,0.395,58.869,0.912,14.012,2023-05-05T04:00:00Z,Highland Springs Reservoir
119700.001,0.394,59.052,0.911,14.014,2023-05-05T04:15:00Z,Highland Springs Reservoir
120600.001,0.387,58.961,0.894,14.019,2023-05-05T04:30:00Z,Highland Springs Reservoir
121500.001,0.397,58.869,0.916,14.016,2023-05-05T04:45:00Z,Highland Springs Reservoir
122400.001,0.391,58.961,0.902,14.023,2023-05-05T05:00:00Z,Highland Springs Reservoir
123300.001,0.388,58.869,0.897,14.018,2023-05-05T05:15:00Z,Highland Springs Reservoir
124200.001,0.386,58.778,0.892,14.023,2023-05-05T05:30:00Z,Highland Springs Reservoir
125100.001,0.39,58.778,0.9,14.021,2023-05-05T05:45:00Z,Highland Springs Reservoir
126000.001,0.394,58.778,0.909,14.018,2023-05-05T06:00:00Z,Highland Springs Reservoir
126900.001,0.388,58.686,0.897,14.02,2023-05-05T06:15:00Z,Highland Springs Reservoir
127800.001,0.389,58.686,0.899,14.016,2023-05-05T06:30:00Z,Highland Springs Reservoir
128700.001,0.39,58.594,0.902,14.021,2023-05-05T06:45:00Z,Highland Springs Reservoir
129600.001,0.386,58.594,0.891,14.023,2023-05-05T07:00:00Z,Highland Springs Reservoir
130500.001,0.385,58.503,0.889,14.022,2023-05-05T07:15:00Z,Highland Springs Reservoir
131400.001,0.388,58.503,0.897,14.02,2023-05-05T07:30:00Z,Highland Springs Reservoir
132300.001,0.386,58.411,0.891,14.023,2023-05-05T07:45:00Z,Highland Springs Reservoir
133200.001,0.388,58.32,0.896,14.023,2023-05-05T08:00:00Z,Highland Springs Reservoir
134100.001,0.382,58.32,0.882,14.028,2023-05-05T08:15:00Z,Highland Springs Reservoir
135000.001,0.381,58.411,0.879,14.029,2023-05-05T08:30:00Z,Highland Springs Reservoir
135900.001,0.386,58.228,0.892,14.025,2023-05-05T08:45:00Z,Highland Springs Reservoir
136800.001,0.38,58.228,0.877,14.031,2023-05-05T09:00:00Z,Highland Springs Reservoir
137700.001,0.381,58.136,0.879,14.028,2023-05-05T09:15:00Z,Highland Springs Reservoir
138600.001,0.377,58.136,0.87,14.031,2023-05-05T09:30:00Z,Highland Springs Reservoir
139500.001,0.382,58.136,0.883,14.026,2023-05-05T09:45:00Z,Highland Springs Reservoir
140400.001,0.383,58.136,0.883,14.028,2023-05-05T10:00:00Z,Highland Springs Reservoir
141300.001,0.38,58.228,0.877,14.029,2023-05-05T10:15:00Z,Highland Springs Reservoir
142200.001,0.387,58.044,0.893,14.029,2023-05-05T10:30:00Z,Highland Springs Reservoir
143100.001,0.382,58.044,0.883,14.032,2023-05-05T10:45:00Z,Highland Springs Reservoir
144000.001,0.381,57.953,0.881,14.03,2023-05-05T11:00:00Z,Highland Springs Reservoir
144900.001,0.372,58.044,0.858,14.036,2023-05-05T11:15:00Z,Highland Springs Reservoir
145800.001,0.38,58.136,0.877,14.026,2023-05-05T11:30:00Z,Highland Springs Reservoir
146700.001,0.381,58.136,0.879,14.028,2023-05-05T11:45:00Z,Highland Springs Reservoir
147600.001,0.384,58.044,0.887,14.027,2023-05-05T12:00:00Z,Highland Springs Reservoir
148500.001,0.381,57.953,0.881,14.028,2023-05-05T12:15:00Z,Highland Springs Reservoir
149400.001,0.379,57.861,0.875,14.033,2023-05-05T12:30:00Z,Highland Springs Reservoir
150300.001,0.379,57.953,0.875,14.033,2023-05-05T12:45:00Z,Highland Springs Reservoir
151200.001,0.379,57.861,0.875,14.036,2023-05-05T13:00:00Z,Highland Springs Reservoir
152100.001,0.38,57.769,0.877,14.034,2023-05-05T13:15:00Z,Highland Springs Reservoir
153000.001,0.38,57.953,0.878,14.038,2023-05-05T13:30:00Z,Highland Springs Reservoir
153900.001,0.372,57.769,0.858,14.042,2023-05-05T13:45:00Z,Highland Springs Reservoir
154800.001,0.377,57.769,0.87,14.039,2023-05-05T14:00:00Z,Highland Springs Reservoir
155700.001,0.382,57.861,0.882,14.043,2023-05-05T14:15:00Z,Highland Springs Reservoir
156600.001,0.375,57.769,0.866,14.049,2023-05-05T14:30:00Z,Highland Springs Reservoir
157500.001,0.378,57.861,0.872,14.049,2023-05-05T14:45:00Z,Highland Springs Reservoir
158400.001,0.382,57.769,0.883,14.047,2023-05-05T15:00:00Z,Highland Springs Reservoir
159300.001,0.375,57.769,0.867,14.05,2023-05-05T15:15:00Z,Highland Springs Reservoir
160200.001,0.378,57.769,0.873,14.052,2023-05-05T15:30:00Z,Highland Springs Reservoir
161100.001,0.37,57.769,0.855,14.059,2023-05-05T15:45:00Z,Highland Springs Reservoir
162000.001,0.374,57.769,0.864,14.054,2023-05-05T16:00:00Z,Highland Springs Reservoir
162900.001,0.376,57.861,0.867,14.055,2023-05-05T16:15:00Z,Highland Springs Reservoir
163800.001,0.375,57.861,0.865,14.058,2023-05-05T16:30:00Z,Highland Springs Reservoir
164700.001,0.367,58.044,0.847,14.057,2023-05-05T16:45:00Z,Highland Springs Reservoir
165600.001,0.376,58.136,0.867,14.053,2023-05-05T17:00:00Z,Highland Springs Reservoir
166500.001,0.368,58.228,0.85,14.06,2023-05-05T17:15:00Z,Highland Springs Reservoir
167400.001,0.368,58.32,0.851,14.06,2023-05-05T17:30:00Z,Highland Springs Reservoir
